Food_code,Seq_num,Additional_food_description,Start_date,End_date
11111000.0,2.0,leche fresca,2021-01-01,2023-12-31
11114330.0,4.0,"lactose free milk, NS as to fat content",2021-01-01,2023-12-31
11115400.0,1.0,fermented milk drink,2021-01-01,2023-12-31
11115400.0,5.0,all types,2021-01-01,2023-12-31
11120000.0,1.0,NS as to fat content,2021-01-01,2023-12-31
11120000.0,2.0,1% fat,2021-01-01,2023-12-31
11120000.0,3.0,2% fat,2021-01-01,2023-12-31
11121100.0,1.0,Nido Fortificada,2021-01-01,2023-12-31
11220000.0,1.0,La Lechera,2021-01-01,2023-12-31
11320000.0,8.0,NS as to sweetened,2021-01-01,2023-12-31
11320100.0,6.0,light,2021-01-01,2023-12-31
11350000.0,7.0,cashew or other nut milk,2021-01-01,2023-12-31
11350010.0,6.0,cashew or other nut milk,2021-01-01,2023-12-31
11350020.0,7.0,cashew or other nut milk,2021-01-01,2023-12-31
11350020.0,8.0,light,2021-01-01,2023-12-31
11350040.0,1.0,cashew or other nut milk,2021-01-01,2023-12-31
11350040.0,2.0,NS as to sweetened,2021-01-01,2023-12-31
11411200.0,1.0,1% fat,2021-01-01,2023-12-31
11411200.0,2.0,2% fat,2021-01-01,2023-12-31
11411200.0,3.0,99% fat free,2021-01-01,2023-12-31
11411300.0,1.0,0% fat,2021-01-01,2023-12-31
11411300.0,2.0,fat free,2021-01-01,2023-12-31
11411300.0,3.0,light,2021-01-01,2023-12-31
11411410.0,1.0,2% fat,2021-01-01,2023-12-31
11411410.0,2.0,1% fat,2021-01-01,2023-12-31
11411410.0,3.0,99% fat free,2021-01-01,2023-12-31
11411420.0,1.0,0% fat,2021-01-01,2023-12-31
11411420.0,2.0,fat free,2021-01-01,2023-12-31
11411420.0,3.0,light,2021-01-01,2023-12-31
11432000.0,10.0,1% fat,2021-01-01,2023-12-31
11432000.0,11.0,2% fat,2021-01-01,2023-12-31
11432000.0,12.0,99% fat free,2021-01-01,2023-12-31
11433000.0,1.0,0% fat,2021-01-01,2023-12-31
11433000.0,2.0,fat free,2021-01-01,2023-12-31
11433000.0,3.0,light,2021-01-01,2023-12-31
11434010.0,1.0,2% fat,2021-01-01,2023-12-31
11434010.0,2.0,1% fat,2021-01-01,2023-12-31
11434010.0,3.0,99% fat free,2021-01-01,2023-12-31
11434020.0,1.0,0% fat,2021-01-01,2023-12-31
11434020.0,2.0,fat free,2021-01-01,2023-12-31
11434020.0,3.0,light,2021-01-01,2023-12-31
11434200.0,1.0,1% fat,2021-01-01,2023-12-31
11434200.0,2.0,2% fat,2021-01-01,2023-12-31
11434200.0,3.0,99% fat free,2021-01-01,2023-12-31
11434300.0,1.0,0% fat,2021-01-01,2023-12-31
11434300.0,2.0,fat free,2021-01-01,2023-12-31
11434300.0,3.0,light,2021-01-01,2023-12-31
11435020.0,1.0,1% fat,2021-01-01,2023-12-31
11435020.0,2.0,2% fat,2021-01-01,2023-12-31
11435020.0,3.0,99% fat free,2021-01-01,2023-12-31
11435020.0,4.0,light,2021-01-01,2023-12-31
11435030.0,1.0,0% fat,2021-01-01,2023-12-31
11435030.0,2.0,fat free,2021-01-01,2023-12-31
11435030.0,3.0,light,2021-01-01,2023-12-31
11435100.0,1.0,all types,2021-01-01,2023-12-31
11435100.0,2.0,with granola,2021-01-01,2023-12-31
11436000.0,2.0,all types,2021-01-01,2023-12-31
11436100.0,1.0,pouch,2021-01-01,2023-12-31
11436100.0,2.0,Go-gurt,2021-01-01,2023-12-31
11436100.0,3.0,all types,2021-01-01,2023-12-31
11440010.0,1.0,jalapeno dip,2021-01-01,2023-12-31
11440010.0,2.0,Southwest dip,2021-01-01,2023-12-31
11440010.0,3.0,greek yogurt based,2021-01-01,2023-12-31
11440010.0,4.0,regular or light,2021-01-01,2023-12-31
11440030.0,1.0,French onion dip,2021-01-01,2023-12-31
11440030.0,2.0,toasted onion dip,2021-01-01,2023-12-31
11440030.0,3.0,green onion dip,2021-01-01,2023-12-31
11440030.0,4.0,greek yogurt based,2021-01-01,2023-12-31
11440030.0,5.0,regular or light,2021-01-01,2023-12-31
11440040.0,1.0,greek yogurt based,2021-01-01,2023-12-31
11440040.0,2.0,regular or light,2021-01-01,2023-12-31
11440050.0,1.0,greek yogurt based,2021-01-01,2023-12-31
11440050.0,2.0,regular or light,2021-01-01,2023-12-31
11440060.0,1.0,Greek dip,2021-01-01,2023-12-31
11440070.0,1.0,greek yogurt based,2021-01-01,2023-12-31
11440070.0,2.0,regular or light,2021-01-01,2023-12-31
11440070.0,3.0,dill,2021-01-01,2023-12-31
11446000.0,2.0,with granola,2021-01-01,2023-12-31
11460000.0,2.0,other flavors,2021-01-01,2023-12-31
11460000.0,3.0,swirl,2021-01-01,2023-12-31
11460000.0,4.0,in a cup,2021-01-01,2023-12-31
11460000.0,5.0,scoop,2021-01-01,2023-12-31
11460100.0,1.0,in a cup,2021-01-01,2023-12-31
11460100.0,2.0,scoop,2021-01-01,2023-12-31
11460500.0,1.0,other flavors,2021-01-01,2023-12-31
11460500.0,2.0,swirl,2021-01-01,2023-12-31
11460500.0,3.0,NS as to flavor,2021-01-01,2023-12-31
11460500.0,4.0,in a cup,2021-01-01,2023-12-31
11460510.0,1.0,in a cup,2021-01-01,2023-12-31
11461200.0,1.0,all flavors,2021-01-01,2023-12-31
11461200.0,2.0,prepackaged frozen yogurt cone,2021-01-01,2023-12-31
11461210.0,1.0,"frozen yogurt bar, NFS",2021-01-01,2023-12-31
11461210.0,2.0,stick,2021-01-01,2023-12-31
11461210.0,3.0,other flavors,2021-01-01,2023-12-31
11461210.0,4.0,swirl,2021-01-01,2023-12-31
11461210.0,5.0,with or without coating,2021-01-01,2023-12-31
11461220.0,1.0,stick,2021-01-01,2023-12-31
11461220.0,2.0,with or without coating,2021-01-01,2023-12-31
11461250.0,1.0,scooped or soft serve,2021-01-01,2023-12-31
11461260.0,1.0,other flavors,2021-01-01,2023-12-31
