"Food_code","Seq_num","Ingredient_code","Ingredient_description","Amount","Measure","Portion_code","Retention_code","Ingredient_weight","Start_date","End_date"
11100000,1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",40,"GM",0,0,40,2021-01-01,2023-12-31
11100000,2,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",38,"GM",0,0,38,2021-01-01,2023-12-31
11100000,3,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",14,"GM",0,0,14,2021-01-01,2023-12-31
11100000,4,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",8,"GM",0,0,8,2021-01-01,2023-12-31
11111000,1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",100,"GM",0,0,100,2021-01-01,2023-12-31
11112110,1,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",100,"GM",0,0,100,2021-01-01,2023-12-31
11112210,1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100,"GM",0,0,100,2021-01-01,2023-12-31
11113000,1,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",100,"GM",0,0,100,2021-01-01,2023-12-31
11114300,1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100,"GM",0,0,100,2021-01-01,2023-12-31
11114320,1,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",100,"GM",0,0,100,2021-01-01,2023-12-31
11114330,1,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",100,"GM",0,0,100,2021-01-01,2023-12-31
11114350,1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",100,"GM",0,0,100,2021-01-01,2023-12-31
11115300,1,1088,"Buttermilk, low fat",100,"GM",0,0,100,2021-01-01,2023-12-31
11115400,1,1289,"Kefir, lowfat, plain, LIFEWAY",50,"GM",0,0,50,2021-01-01,2023-12-31
11115400,2,1290,"Kefir, lowfat, strawberry, LIFEWAY",50,"GM",0,0,50,2021-01-01,2023-12-31
11116000,1,1106,"Milk, goat, fluid, with added vitamin D",100,"GM",0,0,100,2021-01-01,2023-12-31
11120000,1,1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",23,"GM",0,0,23,2021-01-01,2023-12-31
11120000,2,14411,"Beverages, water, tap, drinking",1,"C",10205,0,237,2021-01-01,2023-12-31
11121100,1,1090,"Milk, dry, whole, with added vitamin D",42.662,"GM",0,0,42.662,2021-01-01,2023-12-31
11121100,2,14411,"Beverages, water, tap, drinking",1,"C",10205,0,237,2021-01-01,2023-12-31
11210050,1,1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",100,"GM",0,0,100,2021-01-01,2023-12-31
11211050,1,1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",100,"GM",0,0,100,2021-01-01,2023-12-31
11211400,1,1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",100,"GM",0,0,100,2021-01-01,2023-12-31
11211400,2,1003,"Butter oil, anhydrous",1.8,"GM",0,0,1.8,2021-01-01,2023-12-31
11212050,1,1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",100,"GM",0,0,100,2021-01-01,2023-12-31
11220000,1,1095,"Milk, canned, condensed, sweetened",100,"GM",0,0,100,2021-01-01,2023-12-31
11300100,1,11350040,"Almond milk, NFS",60,"GM",0,0,60,2021-01-01,2023-12-31
11300100,2,11360200,"Oat milk",20,"GM",0,0,20,2021-01-01,2023-12-31
11300100,3,11320000,"Soy milk, sweetened",20,"GM",0,0,20,2021-01-01,2023-12-31
11320000,1,16222,"Soy milk, unsweetened, plain, shelf stable",96,"GM",0,0,96,2021-01-01,2023-12-31
11320000,2,19335,"Sugars, granulated",4,"GM",0,0,4,2021-01-01,2023-12-31
11320100,1,16222,"Soy milk, unsweetened, plain, shelf stable",100,"GM",0,0,100,2021-01-01,2023-12-31
11321000,1,16222,"Soy milk, unsweetened, plain, shelf stable",93,"GM",0,0,93,2021-01-01,2023-12-31
11321000,2,19335,"Sugars, granulated",7,"GM",0,0,7,2021-01-01,2023-12-31
11321000,3,19165,"Cocoa, dry powder, unsweetened",0.3,"GM",0,0,0.3,2021-01-01,2023-12-31
11350000,1,14091,"Almond milk, unsweetened, plain, shelf stable",96,"GM",0,0,96,2021-01-01,2023-12-31
11350000,2,19335,"Sugars, granulated",4,"GM",0,0,4,2021-01-01,2023-12-31
11350010,1,14091,"Almond milk, unsweetened, plain, shelf stable",93,"GM",0,0,93,2021-01-01,2023-12-31
11350010,2,19335,"Sugars, granulated",7,"GM",0,0,7,2021-01-01,2023-12-31
11350010,3,19165,"Cocoa, dry powder, unsweetened",0.3,"GM",0,0,0.3,2021-01-01,2023-12-31
11350020,1,14091,"Almond milk, unsweetened, plain, shelf stable",100,"GM",0,0,100,2021-01-01,2023-12-31
11350040,1,11350020,"Almond milk, unsweetened",70,"GM",0,0,70,2021-01-01,2023-12-31
11350040,2,11350000,"Almond milk, sweetened",30,"GM",0,0,30,2021-01-01,2023-12-31
11360000,1,14639,"Beverages, rice milk, unsweetened",100,"GM",0,0,100,2021-01-01,2023-12-31
11360200,1,8120,"Cereals, oats, regular and quick, not fortified, dry",5,"GM",0,0,5,2021-01-01,2023-12-31
11360200,2,14411,"Beverages, water, tap, drinking",91,"GM",0,0,91,2021-01-01,2023-12-31
11360200,3,4582,"Oil, canola",2,"GM",0,0,2,2021-01-01,2023-12-31
11360200,4,19335,"Sugars, granulated",2,"GM",0,0,2,2021-01-01,2023-12-31
11360200,5,2047,"Salt, table",0.1,"GM",0,0,0.1,2021-01-01,2023-12-31
11360200,6,999328,"Vitamin D as ingredient",0.017,"GM",0,0,0.017,2021-01-01,2023-12-31
11360200,7,999301,"Calcium as ingredient",0.015,"GM",0,0,0.015,2021-01-01,2023-12-31
11360200,8,999418,"Vitamin B-12 as ingredient",0.005,"GM",0,0,0.005,2021-01-01,2023-12-31
11370000,1,14171,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",100,"GM",0,0,100,2021-01-01,2023-12-31
11400000,1,11411400,"Yogurt, Greek, whole milk, plain",50,"GM",0,0,50,2021-01-01,2023-12-31
11400000,2,11432000,"Yogurt, low fat milk, fruit",50,"GM",0,0,50,2021-01-01,2023-12-31
