"Food_code","Main_food_description","WWEIA_Category_number","WWEIA_Category_description","Start_date","End_date"
1.1e+07,"Milk, human",9602,"Human milk",2021-01-01,2023-12-31
11100000,"Milk, NFS",1004,"Milk, reduced fat",2021-01-01,2023-12-31
11111000,"Milk, whole",1002,"Milk, whole",2021-01-01,2023-12-31
11112110,"Milk, reduced fat (2%)",1004,"Milk, reduced fat",2021-01-01,2023-12-31
11112210,"Milk, low fat (1%)",1006,"Milk, lowfat",2021-01-01,2023-12-31
11113000,"Milk, fat free (skim)",1008,"Milk, nonfat",2021-01-01,2023-12-31
11114300,"Milk, lactose free, low fat (1%)",1006,"Milk, lowfat",2021-01-01,2023-12-31
11114320,"Milk, lactose free, fat free (skim)",1008,"Milk, nonfat",2021-01-01,2023-12-31
11114330,"Milk, lactose free, reduced fat (2%)",1004,"Milk, reduced fat",2021-01-01,2023-12-31
11114350,"Milk, lactose free, whole",1002,"Milk, whole",2021-01-01,2023-12-31
11115300,"Buttermilk",1002,"Milk, whole",2021-01-01,2023-12-31
11115400,"Kefir",1006,"Milk, lowfat",2021-01-01,2023-12-31
11116000,"Goat milk",1002,"Milk, whole",2021-01-01,2023-12-31
11120000,"Milk, dry, reconstituted, nonfat",1008,"Milk, nonfat",2021-01-01,2023-12-31
11121100,"Milk, dry, reconstituted, whole",1002,"Milk, whole",2021-01-01,2023-12-31
11210050,"Milk, evaporated, NS as to fat content",1002,"Milk, whole",2021-01-01,2023-12-31
11211050,"Milk, evaporated, whole",1002,"Milk, whole",2021-01-01,2023-12-31
11211400,"Milk, evaporated, reduced fat (2%)",1004,"Milk, reduced fat",2021-01-01,2023-12-31
11212050,"Milk, evaporated, fat free (skim)",1008,"Milk, nonfat",2021-01-01,2023-12-31
11220000,"Milk, condensed, sweetened",1202,"Flavored milk, whole",2021-01-01,2023-12-31
11300100,"Non-dairy milk, NFS",1902,"Plant-based milk",2021-01-01,2023-12-31
11320000,"Soy milk, sweetened",1902,"Plant-based milk",2021-01-01,2023-12-31
11320100,"Soy milk, unsweetened",1902,"Plant-based milk",2021-01-01,2023-12-31
11321000,"Soy milk, chocolate",1902,"Plant-based milk",2021-01-01,2023-12-31
11350000,"Almond milk, sweetened",1902,"Plant-based milk",2021-01-01,2023-12-31
11350010,"Almond milk, chocolate",1902,"Plant-based milk",2021-01-01,2023-12-31
11350020,"Almond milk, unsweetened",1902,"Plant-based milk",2021-01-01,2023-12-31
11350040,"Almond milk, NFS",1902,"Plant-based milk",2021-01-01,2023-12-31
11360000,"Rice milk",1902,"Plant-based milk",2021-01-01,2023-12-31
11360200,"Oat milk",1902,"Plant-based milk",2021-01-01,2023-12-31
11370000,"Coconut milk",1902,"Plant-based milk",2021-01-01,2023-12-31
11400000,"Yogurt, NFS",1820,"Yogurt, regular",2021-01-01,2023-12-31
11400010,"Yogurt, Greek, NS as to type of milk or flavor",1822,"Yogurt, Greek",2021-01-01,2023-12-31
11410000,"Yogurt, NS as to type of milk or flavor",1820,"Yogurt, regular",2021-01-01,2023-12-31
11411010,"Yogurt, NS as to type of milk, plain",1820,"Yogurt, regular",2021-01-01,2023-12-31
11411100,"Yogurt, whole milk, plain",1820,"Yogurt, regular",2021-01-01,2023-12-31
11411200,"Yogurt, low fat milk, plain",1820,"Yogurt, regular",2021-01-01,2023-12-31
11411300,"Yogurt, nonfat milk, plain",1820,"Yogurt, regular",2021-01-01,2023-12-31
11411390,"Yogurt, Greek, NS as to type of milk, plain",1822,"Yogurt, Greek",2021-01-01,2023-12-31
11411400,"Yogurt, Greek, whole milk, plain",1822,"Yogurt, Greek",2021-01-01,2023-12-31
11411410,"Yogurt, Greek, low fat milk, plain",1822,"Yogurt, Greek",2021-01-01,2023-12-31
11411420,"Yogurt, Greek, nonfat milk, plain",1822,"Yogurt, Greek",2021-01-01,2023-12-31
11430000,"Yogurt, NS as to type of milk, fruit",1820,"Yogurt, regular",2021-01-01,2023-12-31
11431000,"Yogurt, whole milk, fruit",1820,"Yogurt, regular",2021-01-01,2023-12-31
11432000,"Yogurt, low fat milk, fruit",1820,"Yogurt, regular",2021-01-01,2023-12-31
11433000,"Yogurt, nonfat milk, fruit",1820,"Yogurt, regular",2021-01-01,2023-12-31
11433990,"Yogurt, Greek, NS as to type of milk, fruit",1822,"Yogurt, Greek",2021-01-01,2023-12-31
11434000,"Yogurt, Greek, whole milk, fruit",1822,"Yogurt, Greek",2021-01-01,2023-12-31
